"Church Name","District Name",Mainkey,"Church Code","Church Mail To","Report Status",Validate,Year,PreviousYearMembers,MembersRemoved,MembersAdded,MembersTotal,AdherentsTotal,InclusiveTotal,MorningAttendance,Language,DigitalService,SmallGroupAttendance,YouthGroupAttendance,ChildrenAttendance,Ethnicity,OnlAtt,YoungAdultAttendance,Conversions0to11,Conversions12to18,Conversions19to30,ConversionsOver30,ConversionsTotal,BaptismsTotal,IncomeLocal,FamilySupportLocal,FamilySupportGCM,ChurchDebt,STMCMAForeign,STMCMADomestic,STMCMAContributions,STMEvent,AllianceWorkersSupported,partnerships,AMEngagePresenter,PeopleCMAForeign19to30,PeopleCMAForeignAges12to18,INTLCMATripAmount,PeopleCMADOM19to30,PEOPLECMADOMAGE12TO18,PeopleNONCMADOM1218,PeopleNonCMADom1920,STMNonCMADomestic,STMNonCMADomesticTrips,PeopleNONCMAFOREIGN1218,PeopleNONCMAFOREIGN1930,STMNonCMAForeign,AMTNONCMAINTL,LeadersDeveloped,LeadersDeployed,PlantIntent,ChurchPlant,GroupPrayer,DiscipleshipPlan,LeadershipPlan,EvangelismPlan,OutreachPlan,CAProgram,BulletinCount,ChurchMultiplyFocusEvent,ChurchPlantEventContent,LocalChurchActs,ChurchPlantMultisite,YouthServeChurchEvent,YouthServeChurchEventNo,YouthServeWeekRelMin,YouthServeWeekRelMinNo,StudentLeadTeam,YouthSerLeadTeamNo,YoungAdultMinistry,VocationalMinistry1218,VocationalMinistry1930,VocationalMinistry31over,Called2ServeUse,LeadersAccreditateLicense,comment,Participants,LeadershipParticipants,EvangelismParticipants,CommunityParticipants
"Cape Cod Bible Alliance Church","Alliance New England",303957,21-25-500,ccbac@comcast.org,"Not Started",N,2021,198,12,11,197,140,337,165,English,Y,80,30,10,Anglo:100,0,,14,2,0,4,20,8,506862,212,47,0,1,5,6224,Y,5,"Cambodia Field, cuba, germany, Gabon, Jordan",,,,,,,,,0,,,,0,,3,2,Y,N,15,Y,Y,N,Y,,0,,,,,,,,,,,,,,,,,,,,,
"Cape Cod Bible Alliance Church","Alliance New England",303957,21-25-500,ccbac@comcast.org,Completed,Y,2022,196,7,19,208,160,368,190,English,Y,110,34,20,,30,0,8,3,2,3,16,4,477677,225,52,0,7,0,0,"Yes - we had an in-person event",5,"Cambodia Field, cuba, germany, Gabon, Jordan","Active International Worker",2,0,11265,0,0,0,0,0,0,0,0,0,0,2,2,Y,Y,12,N,Y,N,N,,0,Y,"Content from the National Office.",,"Lighthouse Alliance Church",Y,10,Y,5,Y,4,Y,2,5,3,N,2,"I recognize that I completed this at the last minute and therefore there may have been a lot of others accessing this site, however, it was nevertheless quite a challenge as the site was extremely slow.",,2,,
"South Shore Community Church C&MA","Alliance New England",303965,21-25-560,office@ssccma.com,"Not Started",N,2021,170,15,18,173,0,173,110,English,Y,60,17,30,"African American:10, Anglo:90",0,,4,5,2,12,23,12,470657,108,10,0,0,0,2000,N,0,,,,,,,,,,0,,,,0,,10,0,N,N,10,Y,Y,Y,N,,0,,,,,,,,,,,,,,,,,,,,,
"South Shore Community Church C&MA","Alliance New England",303965,21-25-560,office@ssccma.com,Completed,Y,2022,170,10,20,180,0,180,110,English,Y,50,18,30,,15,0,2,6,3,13,24,18,426748,115,6,0,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,0,0,0,5054,0,0,0,0,10,0,N,N,14,Y,Y,Y,N,,0,N,,,,Y,2,Y,20,N,,N,1,1,1,N,1,no,55,20,22,
"Christ the Rock Fellowship of the C&MA","Alliance New England",303982,21-25-700,ctrf.cma@gmail.com,"Not Started",N,2021,11,2,0,9,54,63,32,English,Y,15,3,6,"African American:2, Anglo:38, Hispanic:5, Vietnamese:55",0,,0,0,0,2,2,0,64129,21,13,0,0,0,0,Y,0,"Asia/Pacific Cambodia",,,,,,,,,0,,,,0,,0,0,N,N,5,N,N,N,N,,40,,,,,,,,,,,,,,,,,"We continue to have a close partnership with a Vietnamese congregation and have included their members in our counts, as we have for the past 5 years.    Our attendance numbers for 2021 are skewed low due to local COVID mandates for the first 5 months of the year.",,,,
"Christ the Rock Fellowship of the C&MA","Alliance New England",303982,21-25-700,ctrf.cma@gmail.com,Completed,Y,2022,9,0,0,9,17,26,30,English,Y,24,6,7,"Anglo:80, Hispanic:15, African American:5",12,0,2,0,0,2,4,7,76118,16,8,0,0,0,0,"Yes - we used Alliance Missions video",0,"Asia/Pacific Cambodia",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,4,N,N,N,N,,25,N,,,"Hội Thánh Tin Lành Worcester",Y,,Y,8,N,,N,0,0,0,N,0,"For the past seven years we have been functioning in partnership with an independent Vietnamese congregation (that resulted from a Vietnamese Alliance church split), and have reported their members as adherents to our church.  As of November 2022, they have been accepted as a new congregation in the Vietnamese District; so we are reporting them as a new church plant, and they will be reporting their own membership numbers and giving information from now on.  However, the partnership continues, and a number of their members continue to attend our English-language service and give to our General Fund; the Anglo congregation is doing children's and youth ministry and Sunday School for their kids; and we are continuing to do an ESL outreach together.  So if our reported numbers look weird this year, that's the reason why!",,,,
"Journey Church","Alliance New England",304036,21-33-050,conwayjourney@gmail.com,"Not Started",N,2021,84,4,6,86,220,306,160,English,Y,25,20,60,Anglo:100,0,,10,2,0,0,12,4,413293,210,22,1874000,0,0,0,Y,2,"CAMA Asia CAMA Cambodia",,,,,,,,,0,,,,0,,0,2,N,N,30,Y,Y,N,Y,,100,,,,,,,,,,,,,,,,,,,,,
"Journey Church","Alliance New England",304036,21-33-050,conwayjourney@gmail.com,Completed,Y,2022,87,3,3,87,235,322,175,English,Y,34,30,40,Anglo:100,10,0,0,0,0,0,0,6,386129,186,26,1835500,0,0,0,"No - we did not hold an event",4,"CAMA Asia CAMA Cambodia",,0,0,0,0,0,0,0,0,0,0,0,0,7000,10,10,N,N,20,N,Y,N,N,,100,N,,,,Y,5,Y,5,Y,4,N,4,2,2,N,0,"2022 - was a tale of two halves.  The first half former pastor was serving the church (January - July), second half, (August - December) was run by the board and congregants, with pastors filling in for pulpit supply.  Not till January 2023 was a full-time pastor in place to begin the next season of ministry.",,2,,
"LifeQuest Church of the C&MA","Alliance New England",304046,21-33-100,barry@lifequestchurchnh.org,"Not Started",N,2021,21,1,0,20,22,42,25,English,Y,11,0,0,"Anglo:96, Chinese:2, Filipino:2",0,,0,0,0,0,0,0,49777,15,10,0,0,0,0,Y,0,,,,,,,,,,0,,,,0,,0,1,N,N,1,N,N,N,N,,30,,,,,,,,,,,,,,,,,,,,,
"LifeQuest Church of the C&MA","Alliance New England",304046,21-33-100,barry@lifequestchurchnh.org,Completed,Y,2022,20,0,2,22,20,42,23,English,Y,17,0,0,Anglo:100,6,0,0,0,1,0,1,0,55554,18,10,0,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,9,N,N,N,N,,30,N,,,,N,,N,,N,,N,0,0,1,Y,1,No,,,,
"Gateway Alliance Church","Alliance New England",304057,21-33-250,dennisjames12@yahoo.com,"Not Started",N,2021,29,7,0,22,60,82,40,English,Y,8,0,10,"Anglo:98, Hispanic:2",0,,0,0,0,0,0,0,74029,27,3,0,0,0,0,Y,0,"Africa Long Beach",,,,,,,,,0,,,,0,,0,0,N,N,10,N,N,N,N,,20,,,,,,,,,,,,,,,,,,,,,
"Gateway Alliance Church","Alliance New England",304057,21-33-250,dennisjames12@yahoo.com,Completed,Y,2022,26,1,1,26,50,76,45,English,Y,8,7,10,"Anglo:98, Hispanic:2",10,0,3,0,0,0,3,3,83060,20,5,0,0,0,0,"Yes - we used Alliance Missions video",0,"Africa Long Beach",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,10,N,N,N,N,,20,N,,,,N,,Y,5,N,,N,0,0,0,N,0,"Completing the report this year has been very slow.  It has not worked very well for me.  It very well could be the internet on my end.  Just thought I would mention it in case others say anything.",,,,
"New Life Christian Church","Alliance New England",304062,21-33-350,office@newlifechristianchurch.org,"Not Started",N,2021,47,2,4,49,74,123,56,English,Y,30,7,6,"African:1, Anglo:93, Cambodian:1, Portuguese:5",0,,0,0,1,1,2,1,252800,68,23,514979,0,0,0,Y,0,"CAMA Asia CAMA Cambodia",,,,,,,,,0,,,,0,,0,0,N,N,1,N,N,N,N,,50,,,,,,,,,,,,,,,,,,,,,
"New Life Christian Church","Alliance New England",304062,21-33-350,office@newlifechristianchurch.org,Completed,Y,2022,47,2,11,56,73,129,81,English,Y,45,4,6,"Anglo:90, Hispanic:5, Portuguese:4, Jamaican:1",11,3,0,0,0,1,1,2,212600,60,24,494903,0,0,0,"Yes - we had an in-person event",0,"CAMA Asia CAMA Cambodia","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,N,1,N,N,N,N,,50,N,,,,Y,2,N,,N,,Y,0,1,0,Y,1,"If we have erred in our submission, feel free to contact us. Praise God from whom all blessings flow!",,,,
"International Alliance Church","Alliance New England",304094,21-44-300,internationalalliancechurch@gmail.com,"Not Started",N,2021,19,19,0,0,30,30,28,Khmer,N,12,0,2,"Anglo:1, Cambodian:99",0,,0,0,0,0,0,0,46322,25,3,0,0,6,0,Y,2,"Korea Field",,,,,,,,,0,,,,0,,1,0,N,N,12,N,N,N,N,,1,,,,,,,,,,,,,,,,,"The church is in redevelopment so members are now adherents  ",,,,
"International Alliance Church","Alliance New England",304094,21-44-300,internationalalliancechurch@gmail.com,Completed,Y,2022,0,0,0,0,25,25,25,Khmer,N,7,0,0,Cambodian:100,0,0,0,0,0,0,0,0,46267,32,8,0,0,0,0,"Yes - we used Alliance Missions video",2,"Korea Field",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,N,0,N,N,N,N,,1,N,,,,Y,0,Y,0,Y,0,Y,0,0,0,N,0,"Church is in redevelopment so all members were changed to adherents.  There is also no pastor.",,,,
"Missionary Alliance Church","Alliance New England",304107,21-50-050,macbenningtonvt@gmail.com,"Not Started",N,2021,42,4,0,38,63,101,45,English,Y,32,0,9,"African American:1, Anglo:98, Jewish:1",0,,0,0,0,0,0,0,133013,53,10,0,0,0,0,N,5,"aXcess Africa Senegal - Dakar Church Planting Team, aXcess Africa Senegal - Desert Springs Team St Lou",,,,,,,,,0,,,,0,,2,0,N,N,7,Y,Y,Y,Y,,50,,,,,,,,,,,,,,,,,"need to add new Missions chair:    Joe Gervais  muttvette61@gmail.com    (replaces Larry Callander)",,,,
"Missionary Alliance Church","Alliance New England",304107,21-50-050,macbenningtonvt@gmail.com,Completed,Y,2022,42,2,8,48,54,102,58,English,Y,53,0,10,"African American:2, Anglo:97, Hispanic:1",9,0,0,0,0,0,0,0,159542,57,18,0,0,0,0,"No - we did not hold an event",6,"aXcess Africa Senegal - Dakar Church Planting Team, aXcess Africa Senegal - Desert Springs Team St Lou",,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,N,N,8,Y,Y,Y,Y,,50,N,,,,Y,5,Y,2,N,,N,0,0,1,Y,0,"No, we do not have any comments at this time.",3,6,7,8
"Green Mountain Chapel C&MA","Alliance New England",304111,21-50-100,gmcbratt@gmail.com,"Not Started",N,2021,32,3,5,34,12,46,30,English,N,6,0,5,Anglo:100,0,,2,0,0,0,2,4,54620,23,9,0,0,0,0,Y,1,,,,,,,,,,0,,,,0,,1,0,N,N,0,N,N,N,N,,40,,,,,,,,,,,,,,,,,,,,,
"Green Mountain Chapel C&MA","Alliance New England",304111,21-50-100,gmcbratt@gmail.com,Completed,Y,2022,32,5,1,28,17,45,30,English,N,6,0,5,,0,0,1,0,0,0,1,0,58312,26,8,0,0,0,0,"Yes - we had an in-person event",1,,"Active International Worker",0,0,0,0,0,0,0,0,400,0,0,0,5192,0,0,N,N,1,N,N,N,N,,30,N,,,,N,,N,,N,,N,0,0,0,N,0,No,,,,
"North Avenue Alliance Church","Alliance New England",304117,21-50-150,admin@northave.org,"Not Started",N,2021,0,0,0,0,200,200,80,English,N,35,0,10,"African American:1, Anglo:96, Hispanic:2, Vietnamese:1",0,,0,0,1,2,3,2,325358,105,25,0,0,0,0,Y,0,,,,,,,,,,0,,,,0,,1,0,N,N,20,N,N,N,N,,0,,,,,,,,,,,,,,,,,"North Avenue Alliance Church is associated with Essex Alliance Church for all services and activities but their attendance and income is listed separte from EAC.   NAAC is still its own legal organization but it does not currently have a board or members but is under the District. ",,,,
"North Avenue Alliance Church","Alliance New England",304117,21-50-150,admin@northave.org,Completed,Y,2022,0,0,0,0,200,200,75,English,N,35,0,9,,0,8,0,0,0,2,2,0,290082,94,34,0,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,N,20,N,N,N,N,,0,N,,,,N,,Y,1,N,,Y,0,0,0,N,0,"North Avenue and Essex Alliance share programs but the attendance and finances are reported indepent of each other.  Also any statistics listed are independent of each other.",,,,
"Essex Alliance Church","Alliance New England",304131,21-50-300,church@essexalliance.org,"Not Started",N,2021,211,7,1,205,4200,4405,549,English,Y,1250,60,55,"African American:2, Anglo:96, Asian:1, Hispanic:1",0,,5,5,6,10,26,23,2486491,725,75,4030820,0,0,0,Y,0,"New England",,,,,,,,,25,,,,10,,2,0,Y,N,100,Y,Y,Y,Y,,150,,,,,,,,,,,,,,,,,"Essex Alliance is associated with North Avenue Alliance so they view our services but we have not counted their attendance in ours.   Also due to Covid, we have a large number of people that are viewing on line that would normally attend.  These people still give regularly so our units of donors is much higher that our on site Sunday attendance.   We have over 700-800 average views on the sermons which often is more than one person watching the live stream on Sunday morning.  CPM    ",,,,
"Essex Alliance Church","Alliance New England",304131,21-50-300,church@essexalliance.org,Completed,Y,2022,211,10,3,204,3800,4004,525,English,Y,1000,65,55,,550,25,5,5,6,15,31,36,2366292,735,145,4030000,3,0,0,"Yes - we had an in-person event",1,"New England",Others,0,0,0,0,0,0,0,25,0,0,0,10,0,2,0,Y,N,100,Y,Y,Y,Y,,0,N,,,,Y,1,Y,5,Y,5,Y,2,2,2,N,1,"Our church is large with many people who travel so it is difficult to answer your questions about who is traveling to mission fields - CMA or Non-CMA as well as domestic or international -- unless it is a church sponsored trip. Cindy Mann",1,10,2,2
"Community Alliance Church","Alliance New England",304137,21-50-350,smansfield@hinesburgcma.org,"Not Started",N,2021,82,0,12,94,54,148,70,English,Y,70,20,15,"African American:7, Anglo:93",0,,0,3,3,2,8,9,321071,49,18,0,0,0,0,Y,2,"Market Place Ministries",,,,,,,,,0,,,,0,,9,2,N,N,0,Y,Y,Y,Y,,0,,,,,,,,,,,,,,,,,,,,,
"Community Alliance Church","Alliance New England",304137,21-50-350,smansfield@hinesburgcma.org,Completed,Y,2022,82,12,0,70,201,271,80,English,Y,70,20,20,,0,12,0,0,0,0,0,0,304089,85,15,0,0,0,0,"Yes - we had an in-person event",2,"Market Place Ministries","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,N,N,5,Y,Y,Y,Y,,0,N,,,,Y,4,Y,12,N,,Y,0,0,0,N,1,"Extremely slow process...  Tried several times from different wifi places...",10,undefined,,
"Christ Community Alliance Church","Alliance New England",304141,21-50-400,forlow@gmail.com,"Not Started",N,2021,59,8,6,57,30,87,72,English,Y,41,8,6,"African American:1, Anglo:99",0,,0,0,0,0,0,2,216334,36,10,0,0,8,0,Y,1,"Tea House, aXcess Europe Green Mountains",,,,,,,,,0,,,,0,,1,2,Y,N,14,Y,N,N,Y,,250,,,,,,,,,,,,,,,,,,,,,
"Christ Community Alliance Church","Alliance New England",304141,21-50-400,forlow@gmail.com,Completed,Y,2022,57,7,5,55,30,85,77,English,Y,45,1,3,"African American:100",15,0,0,0,0,2,2,1,215627,45,6,0,0,0,0,"No - we did not hold an event",1,"Tea House, aXcess Europe Green Mountains",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Y,Y,20,Y,Y,Y,Y,,0,N,,,"Christ Community Allaince East Bare",Y,4,N,,N,,N,2,1,0,N,1,"it was much easier in the past.
this new thing is slow and not so easy.",34,1,34,34
"Alliance Community Fellowship","Alliance New England",304149,21-50-451,office@acfrutland.org,"Not Started",N,2021,49,2,0,47,57,104,57,English,Y,30,5,18,Anglo:100,0,,2,0,1,1,4,1,109699,55,10,0,0,0,0,Y,1,"aXcess Europe Green Mountains",,,,,,,,,0,,,,0,,2,0,N,N,3,Y,N,N,Y,,50,,,,,,,,,,,,,,,,,,,,,
"Alliance Community Fellowship","Alliance New England",304149,21-50-451,office@acfrutland.org,Completed,Y,2022,49,14,0,35,58,93,58,English,Y,30,5,15,,4,5,2,1,0,0,3,3,105571,44,8,0,0,0,0,"Yes - we had an in-person event",1,"aXcess Europe Green Mountains","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,N,N,4,Y,N,N,Y,,50,N,,,,Y,3,Y,3,N,,N,0,0,0,N,0,"Rev Erron Hubbell is leaving ACF to pastor the Alliance church in Hudson, NH.",5,,,
"Green Mountain Community C&MA Church","Alliance New England",304157,21-50-500,pastor_gmcac@comcast.net,"Not Started",N,2021,44,8,1,37,25,62,21,English,Y,16,0,4,Anglo:100,0,,0,0,0,0,0,3,89425,24,7,0,0,0,0,Y,0,"Europe Green Mountains",,,,,,,,,0,,,,0,,0,0,N,N,3,N,N,N,N,,24,,,,,,,,,,,,,,,,,,,,,
"Green Mountain Community C&MA Church","Alliance New England",304157,21-50-500,pastor_gmcac@comcast.net,Completed,Y,2022,34,3,1,32,24,56,31,English,Y,16,6,3,Anglo:100,6,0,0,0,0,0,0,0,87470,27,7,0,0,0,0,"Yes - we had an in-person event",2,"Europe Green Mountains","Active International Worker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,0,N,N,N,N,,22,N,,,,Y,35,N,,N,,N,0,0,0,N,0,no,,,,
"Cambodian Evangelical Church","Alliance New England",311819,21-25-320,,"Not Started",N,2021,14,3,0,11,0,11,11,Khmer,Y,6,0,0,Cambodian:100,0,,0,0,0,0,0,0,5710,5,5,0,0,0,0,N,0,"Gabon Field",,,,,,,,,200,,,,200,,2,1,N,N,12,N,N,N,N,,10,,,,,,,,,,,,,,,,,,,,,
"Cambodian Evangelical Church","Alliance New England",311819,21-25-320,,Completed,Y,2022,6,5,0,1,0,1,6,Khmer,Y,6,0,0,,4,0,0,0,0,6,6,0,2235,4,4,0,0,0,0,"No - we did not hold an event",0,"Gabon Field",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,7,N,N,N,Y,,1,N,,,,N,,N,,N,,N,0,0,0,N,0,"Church moved",,,,
"Jerusalem Cambodian Evangelical Church","Alliance New England",311823,21-25-370,,"Not Started",N,2021,16,3,0,13,0,13,14,Khmer,Y,9,0,0,Cambodian:100,0,,0,0,0,0,0,0,4550,13,0,0,0,0,0,N,0,"Dave and Marene Zimmerman, Cairo",,,,,,,,,0,,,,0,,0,0,N,N,1,N,N,N,N,,0,,,,,,,,,,,,,,,,,,,,,
"Jerusalem Cambodian Evangelical Church","Alliance New England",311823,21-25-370,,Completed,Y,2022,13,3,1,11,0,11,11,Khmer,Y,8,0,0,,11,0,0,0,0,0,0,0,4100,11,5,0,0,0,0,"No - we did not hold an event",0,"Dave and Marene Zimmerman, Cairo",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,1,N,N,N,N,,0,N,,,,N,,N,,N,,N,0,0,0,N,0,No,,,,
"Norwich Chinese Christian Church of the C&MA","Alliance New England",325071,21-09-255,lukezhu118@gmail.com,"Not Started",N,2021,53,3,3,53,1,54,2,Mandarin,Y,30,6,0,Chinese:100,0,,0,2,0,2,4,3,61104,29,0,0,0,0,0,Y,0,,,,,,,,,,1,,,,0,,2,0,N,N,2,Y,Y,Y,N,,0,,,,,,,,,,,,,,,,,,,,,
"Norwich Chinese Christian Church of the C&MA","Alliance New England",325071,21-09-255,lukezhu118@gmail.com,Completed,Y,2022,53,4,4,53,3,56,5,Mandarin,Y,30,4,1,"Chinese:100, Native American:0",18,0,0,2,2,6,10,2,60038,73,0,0,0,0,0,"Yes - we had a virtual event",0,,,0,0,0,0,0,0,1,2,10,0,0,10,18,2,0,N,N,4,Y,Y,Y,Y,,1,N,,,,Y,1,N,,N,,Y,0,0,0,N,0,"The church is able to hold continuous physical gatherings, and the number of gatherings has increased, but the children and youth ministry is still stagnant.Some registered members are still unable to attend church meetings. These still need to be broken through.",6,4,,3
"Alliance Community Church","Alliance New England",325761,21-25-580,alliancechurch@live.com,"Not Started",N,2021,51,12,3,42,8,50,45,Portuguese,N,15,2,4,Portuguese:100,0,,0,0,0,3,3,2,149287,18,18,513000,0,0,0,N,0,,,,,,,,,,0,,,,0,,0,0,N,N,0,N,N,N,N,,0,,,,,,,,,,,,,,,,,,,,,
"Alliance Community Church","Alliance New England",325761,21-25-580,alliancechurch@live.com,Completed,Y,2022,51,15,4,40,6,46,30,Portuguese,N,8,2,5,Portuguese:100,0,1,0,2,1,1,4,0,128871,10,10,460000,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,1,N,N,N,N,,0,N,,,,Y,1,N,,N,,N,0,0,0,N,0,no,,,,
"Love ALLiance","Alliance New England",747383,21-25-008,louisblemieux@gmail.com,"Not Started",N,2021,0,0,0,0,45,45,25,English,Y,12,10,3,"Anglo:90, Hispanic:10",0,,1,0,1,1,3,0,76318,33,0,220000,0,0,0,N,0,"Germany Field",,,,,,,,,0,,,,0,,1,1,N,N,6,N,N,N,N,,0,,,,,,,,,,,,,,,,,"This year was wild. Year two of a pandemic. We as a church community started the year fully online and ended the year in a new space, meeting in person. Over the course of this year we changed locations, began to meet in person and the Lord delivered us a new meeting space that meets all our needs. As the pastor of this community, it may have added some grey hair, but the hand of the Lord was evident. We feel some great momentum as we are exiting this pandemic (hopefully) and are excited about where the Lord has placed us. It was a wild ride but we learned a lot. We can now easily pivot to a digital only service, we REALLY appreciate being back together and we are thankful that everyone recovered from bouts with Covid. The Lord is good and we are looking forward to see where He leads in 2022.     Pastor Louis ",,,,
"Love ALLiance","Alliance New England",747383,21-25-008,louisblemieux@gmail.com,Completed,Y,2022,0,0,0,0,30,30,20,English,Y,12,13,2,,10,0,1,1,1,1,4,3,74330,30,0,215000,0,0,0,"No - we did not hold an event",0,"Germany Field",,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,N,N,0,N,Y,N,N,,0,N,,,,Y,12,Y,5,N,,N,0,0,0,N,0,"We are feeling a new sense of growth in leadership this year and are also sensing a new sense of excitement surrounding the church.",,8,,
"Open Heaven Community Church","Alliance New England",778292,21-25-015,sogny118@gmail.com,Completed,Y,2022,0,0,0,0,30,30,30,English,N,20,7,4,"Korean:70, Anglo:15, Chinese:15",0,8,0,0,1,1,2,0,72123,12,0,0,0,0,0,"No - we did not hold an event",0,,,0,0,0,0,0,8,2,1,11,0,0,0,0,2,0,N,N,14,Y,Y,Y,N,,3,N,,,,Y,2,Y,6,Y,4,N,0,0,0,N,0,"Thank you so much for your support and prayer",10,4,8,
